Save: 1, Episode: 161/10000, Score: 4817.2800669425205, Epsilon: 0.9998719600000028, Play_time: 453, Spawn distance: 59.586347574784405
Save: 2, Episode: 162/10000, Score: 3208.749269645383, Epsilon: 0.9997795600000048, Play_time: 280, Spawn distance: 57.265090665146815
Save: 3, Episode: 168/10000, Score: 3708.4661044369795, Epsilon: 0.9992040400000173, Play_time: 306, Spawn distance: 66.43538502610187
Save: 4, Episode: 171/10000, Score: 5612.637485911213, Epsilon: 0.9989017600000238, Play_time: 453, Spawn distance: 78.51070385878481
Save: 5, Episode: 178/10000, Score: 7347.662318453748, Epsilon: 0.9981546400000401, Play_time: 335, Spawn distance: 69.35982842243959
Save: 6, Episode: 179/10000, Score: 8211.014758207251, Epsilon: 0.9980054800000433, Play_time: 453, Spawn distance: 81.12411130054096
Save: 7, Episode: 180/10000, Score: 662.4484213327951, Epsilon: 0.9979896400000436, Play_time: 47, Spawn distance: 63.0022410368417
Save: 8, Episode: 181/10000, Score: 611.5917029809658, Epsilon: 0.9978853600000459, Play_time: 315, Spawn distance: 57.27905924099744
Save: 9, Episode: 186/10000, Score: 6808.774211615699, Epsilon: 0.9972596800000595, Play_time: 453, Spawn distance: 52.82255905864429
Save: 10, Episode: 187/10000, Score: 2650.3349171259847, Epsilon: 0.9971527600000618, Play_time: 325, Spawn distance: 53.72073299540996
Save: 11, Episode: 188/10000, Score: 7215.086076337581, Epsilon: 0.997003600000065, Play_time: 453, Spawn distance: 55.20969105846187
Save: 12, Episode: 189/10000, Score: 9166.374052345358, Epsilon: 0.9968795200000677, Play_time: 377, Spawn distance: 56.34417149941234
Save: 13, Episode: 190/10000, Score: 2615.729373177568, Epsilon: 0.996730360000071, Play_time: 453, Spawn distance: 77.66720351640467
Save: 14, Episode: 192/10000, Score: 1793.5183658039655, Epsilon: 0.9966115600000736, Play_time: 316, Spawn distance: 52.573867541967395
Save: 15, Episode: 193/10000, Score: 6180.491194275202, Epsilon: 0.9965574400000747, Play_time: 163, Spawn distance: 75.69577471012497
Save: 16, Episode: 196/10000, Score: 3207.389571760568, Epsilon: 0.9962287600000819, Play_time: 247, Spawn distance: 75.2858872358739
Save: 17, Episode: 198/10000, Score: 1417.6624798840191, Epsilon: 0.9959304400000883, Play_time: 453, Spawn distance: 67.91284187006892
Save: 18, Episode: 199/10000, Score: 3797.34875381366, Epsilon: 0.995809000000091, Play_time: 366, Spawn distance: 53.86735481386233
Save: 19, Episode: 201/10000, Score: 1615.5909628734564, Epsilon: 0.9955106800000975, Play_time: 453, Spawn distance: 78.38381851341192
Save: 20, Episode: 202/10000, Score: 5612.857695433719, Epsilon: 0.9953615200001007, Play_time: 453, Spawn distance: 60.17666343492062
Save: 21, Episode: 205/10000, Score: 6212.905184585987, Epsilon: 0.9950513200001074, Play_time: 453, Spawn distance: 71.04728719246108
Save: 22, Episode: 207/10000, Score: 15406.412042067206, Epsilon: 0.9947530000001139, Play_time: 453, Spawn distance: 67.09066672777057
Save: 23, Episode: 208/10000, Score: 1526.9958062104902, Epsilon: 0.9946038400001171, Play_time: 453, Spawn distance: 63.42115791625224
Save: 24, Episode: 209/10000, Score: 5322.076685898988, Epsilon: 0.994519360000119, Play_time: 255, Spawn distance: 65.16727069141328
Save: 25, Episode: 211/10000, Score: 1000.0, Epsilon: 0.9943636000001224, Play_time: 21, Spawn distance: 45.18139251374136
Save: 26, Episode: 216/10000, Score: 5121.182912489327, Epsilon: 0.9939478000001314, Play_time: 211, Spawn distance: 54.95068841588493
Save: 27, Episode: 217/10000, Score: 1801.0069064093534, Epsilon: 0.9938448400001336, Play_time: 311, Spawn distance: 58.54760664928125
Save: 28, Episode: 220/10000, Score: 11616.96180015376, Epsilon: 0.9935465200001401, Play_time: 360, Spawn distance: 45.925365633384935
Save: 29, Episode: 221/10000, Score: 11808.514626864118, Epsilon: 0.9933973600001433, Play_time: 453, Spawn distance: 76.66046102415541
Save: 30, Episode: 226/10000, Score: 2634.3500276992713, Epsilon: 0.9931214800001493, Play_time: 306, Spawn distance: 76.9127664387886
Save: 31, Episode: 228/10000, Score: 2615.7791750104875, Epsilon: 0.9928231600001558, Play_time: 453, Spawn distance: 76.0552101691421
Save: 32, Episode: 229/10000, Score: 9012.381806480542, Epsilon: 0.992674000000159, Play_time: 453, Spawn distance: 61.55008956429543
Save: 33, Episode: 230/10000, Score: 9258.5266732201, Epsilon: 0.9925631200001614, Play_time: 336, Spawn distance: 75.80756731269283
Save: 34, Episode: 234/10000, Score: 4816.171105144272, Epsilon: 0.9920879200001718, Play_time: 453, Spawn distance: 45.415169197342266
Save: 35, Episode: 235/10000, Score: 2013.1150433398675, Epsilon: 0.991938760000175, Play_time: 453, Spawn distance: 65.0146562696619
Save: 36, Episode: 237/10000, Score: 7213.994421891289, Epsilon: 0.9916404400001815, Play_time: 453, Spawn distance: 59.96282334093583
Save: 37, Episode: 240/10000, Score: 7242.908001111266, Epsilon: 0.9912127600001908, Play_time: 453, Spawn distance: 83.5552854591458
Save: 38, Episode: 243/10000, Score: 6215.329231264608, Epsilon: 0.9909910000001956, Play_time: 453, Spawn distance: 56.57916943570917
Save: 39, Episode: 246/10000, Score: 4811.547350422788, Epsilon: 0.9905884000002043, Play_time: 453, Spawn distance: 60.38542450937643
Save: 40, Episode: 249/10000, Score: 2610.7412324921734, Epsilon: 0.9903376000002098, Play_time: 290, Spawn distance: 48.21402678907806
Save: 41, Episode: 252/10000, Score: 7164.334073266462, Epsilon: 0.9900274000002165, Play_time: 323, Spawn distance: 50.53593297438387
Save: 42, Episode: 256/10000, Score: 4968.321767097397, Epsilon: 0.9894466000002291, Play_time: 453, Spawn distance: 58.467107044323996
Save: 43, Episode: 257/10000, Score: 4575.83884415686, Epsilon: 0.9892974400002323, Play_time: 453, Spawn distance: 53.31019072797091
Save: 44, Episode: 260/10000, Score: 3212.345716355104, Epsilon: 0.9889978000002388, Play_time: 453, Spawn distance: 68.53619798689189
Save: 45, Episode: 263/10000, Score: 613.7618600020911, Epsilon: 0.9886744000002459, Play_time: 453, Spawn distance: 51.931759559567624
Save: 46, Episode: 269/10000, Score: 1796.0144153428644, Epsilon: 0.9879220000002622, Play_time: 453, Spawn distance: 88.03121973745726
Save: 47, Episode: 277/10000, Score: 606.4115464256743, Epsilon: 0.9872620000002765, Play_time: 207, Spawn distance: 78.91151808792821
Save: 48, Episode: 278/10000, Score: 2985.7316981668055, Epsilon: 0.9872316400002772, Play_time: 90, Spawn distance: 51.952450684907966
Save: 49, Episode: 279/10000, Score: 1216.9715387438716, Epsilon: 0.9870824800002804, Play_time: 453, Spawn distance: 49.426981794981614
Save: 50, Episode: 280/10000, Score: 4216.103600990232, Epsilon: 0.9869333200002837, Play_time: 453, Spawn distance: 75.80120577682322
Save: 51, Episode: 281/10000, Score: 4598.787437719904, Epsilon: 0.9868409200002857, Play_time: 281, Spawn distance: 58.52892780378186
Save: 52, Episode: 282/10000, Score: 1014.5381236555032, Epsilon: 0.9866917600002889, Play_time: 453, Spawn distance: 50.81404344717821
Save: 53, Episode: 285/10000, Score: 3984.3670917619766, Epsilon: 0.9863842000002956, Play_time: 453, Spawn distance: 71.37770803715698
Save: 54, Episode: 286/10000, Score: 4615.540369827362, Epsilon: 0.9862350400002988, Play_time: 453, Spawn distance: 62.06941107465966
Save: 55, Episode: 293/10000, Score: 7810.609955284753, Epsilon: 0.9854971600003148, Play_time: 453, Spawn distance: 90.29903300048987
Save: 56, Episode: 294/10000, Score: 4013.8758736497457, Epsilon: 0.9853625200003178, Play_time: 408, Spawn distance: 49.357343908098855
Save: 57, Episode: 296/10000, Score: 5009.7087240822975, Epsilon: 0.9850642000003242, Play_time: 453, Spawn distance: 72.38810972473138
Save: 58, Episode: 297/10000, Score: 8612.309509823566, Epsilon: 0.9849150400003275, Play_time: 453, Spawn distance: 76.84331385306683
Save: 59, Episode: 301/10000, Score: 2536.0016803412727, Epsilon: 0.9844002400003387, Play_time: 204, Spawn distance: 55.55431074495365
Save: 60, Episode: 302/10000, Score: 3369.8392889127795, Epsilon: 0.9843065200003407, Play_time: 282, Spawn distance: 61.02808507591383
Save: 61, Episode: 310/10000, Score: 2793.6916497281886, Epsilon: 0.9833191600003621, Play_time: 356, Spawn distance: 75.34849183371446
Save: 62, Episode: 311/10000, Score: 4016.0858070920267, Epsilon: 0.9831700000003654, Play_time: 453, Spawn distance: 61.723832086780995
Save: 63, Episode: 312/10000, Score: 2165.658946480775, Epsilon: 0.9830538400003679, Play_time: 353, Spawn distance: 94.91426720422373
Save: 64, Episode: 313/10000, Score: 1793.1916715207333, Epsilon: 0.9829046800003711, Play_time: 453, Spawn distance: 80.79691295681741
Save: 65, Episode: 314/10000, Score: 4614.690205916041, Epsilon: 0.9827555200003744, Play_time: 453, Spawn distance: 65.26351193826427
Save: 66, Episode: 320/10000, Score: 3855.606579966503, Epsilon: 0.98203744000039, Play_time: 133, Spawn distance: 55.134513346554904
Save: 67, Episode: 322/10000, Score: 7177.485699398165, Epsilon: 0.9819292000003923, Play_time: 301, Spawn distance: 64.06239734428443
Save: 68, Episode: 323/10000, Score: 1000.0, Epsilon: 0.9819226000003924, Play_time: 21, Spawn distance: 46.94159262136783
Save: 69, Episode: 325/10000, Score: 1616.7786049836197, Epsilon: 0.9817628800003959, Play_time: 453, Spawn distance: 73.23093196522335
Save: 70, Episode: 328/10000, Score: 4726.68373327736, Epsilon: 0.9813154000004056, Play_time: 453, Spawn distance: 52.227079252920724
