Save: 1, Episode: 4/10000, Score: 4748.0, Epsilon: 0.9997390000000022, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 76.37609978772402
Save: 2, Episode: 14/10000, Score: 4195.0, Epsilon: 0.9991810000000068, Epsilon_action: 1.0, Play_time: 48, Spawn distance: 80.66189266900382
Save: 3, Episode: 54/10000, Score: 2891.0, Epsilon: 0.9969310000000253, Epsilon_action: 1.0, Play_time: 39, Spawn distance: 80.35835977501367
Save: 4, Episode: 68/10000, Score: 3164.0, Epsilon: 0.9960910000000323, Epsilon_action: 1.0, Play_time: 69, Spawn distance: 121.4832062419063
Save: 5, Episode: 74/10000, Score: 7071.0, Epsilon: 0.9957010000000355, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 86.98250097481946
Save: 6, Episode: 75/10000, Score: 3132.0, Epsilon: 0.9956260000000361, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 148.9974597661767
Save: 7, Episode: 100/10000, Score: -22.0, Epsilon: 0.9942850000000472, Epsilon_action: 1.0, Play_time: 23, Spawn distance: 226.89967910392056
Save: 8, Episode: 106/10000, Score: 3769.0, Epsilon: 0.9938860000000505, Epsilon_action: 1.0, Play_time: 70, Spawn distance: 93.37946912694501
Save: 9, Episode: 111/10000, Score: 2526.0, Epsilon: 0.993574000000053, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 197.23522855541202
Save: 10, Episode: 115/10000, Score: 2993.0, Epsilon: 0.993334000000055, Epsilon_action: 1.0, Play_time: 38, Spawn distance: 92.20517855625016
Save: 11, Episode: 131/10000, Score: 2829.0, Epsilon: 0.9922750000000637, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 124.86521859788589
Save: 12, Episode: 142/10000, Score: 2829.0, Epsilon: 0.9918370000000674, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 82.2599789981981
Save: 13, Episode: 151/10000, Score: 2728.0, Epsilon: 0.991273000000072, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 98.09094065591864
Save: 14, Episode: 163/10000, Score: 7475.0, Epsilon: 0.9906430000000772, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 92.80532054351488
Save: 15, Episode: 164/10000, Score: 3740.0, Epsilon: 0.9905710000000778, Epsilon_action: 1.0, Play_time: 99, Spawn distance: 179.88163300467755
Save: 16, Episode: 176/10000, Score: 3197.0, Epsilon: 0.9899560000000829, Epsilon_action: 1.0, Play_time: 36, Spawn distance: 87.31512312710049
Save: 17, Episode: 196/10000, Score: 2692.0, Epsilon: 0.9888700000000918, Epsilon_action: 1.0, Play_time: 36, Spawn distance: 100.93863473320786
Save: 18, Episode: 200/10000, Score: -100.0, Epsilon: 0.9886330000000938, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 86.84953140710203
Save: 19, Episode: 201/10000, Score: 4665.0, Epsilon: 0.9885730000000943, Epsilon_action: 1.0, Play_time: 83, Spawn distance: 114.64265928895348
Save: 20, Episode: 208/10000, Score: 3233.0, Epsilon: 0.9880930000000983, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 161.43709282097475
Save: 21, Episode: 211/10000, Score: 5354.0, Epsilon: 0.9878680000001001, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 111.18063493926998
Save: 22, Episode: 235/10000, Score: 3637.0, Epsilon: 0.9865210000001112, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 101.32699325440316
Save: 23, Episode: 238/10000, Score: 5556.0, Epsilon: 0.9863320000001128, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 83.87207542991749
Save: 24, Episode: 242/10000, Score: 3656.0, Epsilon: 0.9861640000001142, Epsilon_action: 1.0, Play_time: 82, Spawn distance: 147.1800909994164
Save: 25, Episode: 246/10000, Score: 3165.0, Epsilon: 0.9859930000001156, Epsilon_action: 1.0, Play_time: 68, Spawn distance: 141.53247515999254
Save: 26, Episode: 254/10000, Score: 3592.0, Epsilon: 0.9854920000001197, Epsilon_action: 1.0, Play_time: 45, Spawn distance: 94.36010770240912
Save: 27, Episode: 274/10000, Score: 3345.0, Epsilon: 0.9844030000001287, Epsilon_action: 1.0, Play_time: 90, Spawn distance: 154.2419197210023
Save: 28, Episode: 284/10000, Score: 4200.0, Epsilon: 0.9838630000001332, Epsilon_action: 1.0, Play_time: 43, Spawn distance: 76.47911606267506
Save: 29, Episode: 289/10000, Score: 5960.0, Epsilon: 0.9835840000001355, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 116.1855266835495
Save: 30, Episode: 293/10000, Score: 2653.0, Epsilon: 0.9833080000001377, Epsilon_action: 1.0, Play_time: 75, Spawn distance: 139.2719651538985
Save: 31, Episode: 298/10000, Score: 2860.0, Epsilon: 0.9830440000001399, Epsilon_action: 1.0, Play_time: 70, Spawn distance: 118.92062850017696
Save: 32, Episode: 299/10000, Score: 4243.0, Epsilon: 0.9829690000001405, Epsilon_action: 1.0, Play_time: 101, Spawn distance: 145.67849168613805
Save: 33, Episode: 300/10000, Score: -30.0, Epsilon: 0.9829480000001407, Epsilon_action: 1.0, Play_time: 31, Spawn distance: 143.62759963143262
